,1,2,3,4,5,6,7,8,9,10,11,12
A,4728.289023,564.3425297,1.155784401,179.2084176,93.0392421,22.59058524,0.222798732,104.72483,103.8415755,88.70626888,,
B,199.2224663,132.6864482,0.213250642,86.05188143,103.9386842,44.331497,0.045594423,117.0338754,62.85820438,83.17015399,,
C,55.44875068,46.26729173,0.251147232,145.1277995,171.6087778,56.1562487,0.095237869,237.0291085,102.2573178,113.9644489,,
D,5.990792186,6.31544555,0.171425917,55.45072079,34.34611608,43.21532519,,147.6658052,120.2460299,101.295208,,
E,1.228009308,1.05043064,0.274926194,73.80522593,47.75223263,27.77148532,0.008255765,164.3682558,95.99151512,83.89543926,,
F,0.424830216,0.173935609,99.62507141,90.17472084,49.83937288,0.040041183,115.338458,154.2710921,87.62587739,0.446748554,,
G,0.379175534,0.087531855,76.54251426,89.42697037,43.03926944,0.018349303,98.52075677,128.3223829,63.8871458,0.211814122,,
H,0.096799805,0.163288944,96.31753002,99.34373076,46.57575397,0.061417013,75.83996734,89.15598064,53.52707063,0.20339374,,
,,,,,,,,,,,,
,650.221872,,5778.922007,896042.088,465196.2105,112952.9262,,,,,,
,,,1066.253209,430259.4072,519693.4211,221657.485,,,,,,
,,,1255.736158,725638.9973,858043.889,280781.2435,,,,,,
,,,857.1295834,277253.604,171730.5804,216076.6259,,,,,,
,,,1374.630971,369026.1297,238761.1631,138857.4266,,,,,,
,,,498125.357,450873.6042,249196.8644,200.205915,,,,,,
,,,382712.5713,447134.8519,215196.3472,91.74651376,,,,,,
,,,481587.6501,496718.6538,232878.7699,307.085064,,,,,,
,,,,,,,,,,,,
,,,5128.700135,895391.8661,464545.9886,112302.7043,,,,,,
,,,416.0313372,429609.1853,519043.1992,221007.2631,,,,,,
,,,605.5142861,724988.7755,857393.6671,280131.0216,,,,,,
,,,206.9077114,276603.3821,171080.3585,215426.4041,,,,,,
,,,724.4090994,368375.9078,238110.9413,138207.2047,,,,,,
,,,497475.1352,450223.3823,248546.6425,-450.015957,,,,,,
,,,382062.3494,446484.63,214546.1253,-558.4753583,,,,,,
,,,480937.4282,496068.4319,232228.548,-343.136808,,,,,,
,,,,,,,,,,,,
,,,5.128700135,895.3918661,464.5459886,112.3027043,,,,,,
,,,0.416031337,429.6091853,519.0431992,221.0072631,,,,,,
,,,0.605514286,724.9887755,857.3936671,280.1310216,,,,,,
,,,0.206907711,276.6033821,171.0803585,215.4264041,,,,,,
,,,0.724409099,368.3759078,238.1109413,138.2072047,,,,,,
,,,497.4751352,450.2233823,248.5466425,-0.450015957,,,,,,
,,,382.0623494,446.48463,214.5461253,-0.558475358,,,,,,
,,,480.9374282,496.0684319,232.228548,-0.343136808,,,,,,
