,1,2,3,4,5,6,7,8,9,10,11,12
A,1040.0057978136972,255.37203475337554,,,,,,,,,,
B,262.18252611878205,174.51068894948688,3800.0303566127186,4326.383040349936,3410.9651114279272,2544.409507451648,2675.2534476488795,,,,,
C,107.92166598976297,86.4525188080884,3999.5065791862758,4057.7952824501062,1268.7964096263197,3373.301917352603,2435.8724968896363,,,,,
D,52.17767766409574,49.41299186839029,,4392.604607859251,5295.572524577134,2324.330926298117,1299.070832417676,,,,,
E,26.137926745827748,24.561316058083325,5451.356331384621,5773.638385712615,4641.732499875534,3944.4049991451693,2987.8958165333124,,,,,
F,13.746053403541026,10.812551026548084,10531.777223765856,5858.262484983145,6617.476017743959,3460.0262484729114,3286.212755599221,,,,,
G,5.4541798774366566,5.83514300951104,9540.972760977718,5256.000699067599,6359.501646612069,3864.7478489655477,3858.979227179077,,,,,
H,3.5177523199991576,,,,,,,,,,,
