Absorbance,1,2,3,4,5,6,7,8,9,10,11,12
A,9995.8242070964,1965648.0842258737,1673981.8382317186,3194972.8122011777,,,,,,,,
B,5020.465600865534,4724602.474974746,2974524.649380169,2589777.351250743,,,,,,,,
C,2469.0823389057346,2250423.3527743495,5477176.131952044,4590238.0322541725,,,,,,,,
D,1230.448121926906,2013545.2266015972,4842481.355349247,1933839.9840167244,,,,,,,,
E,629.2793668637935,1605978.4596934728,1061093.2114710598,1813731.5123750777,,,,,,,,
F,516.1965250571051,3088969.866155172,1911954.5553797488,1608297.8975379956,,,,,,,,
G,,1291822.4452086908,3280489.9154666835,3237616.944064396,,,,,,,,
H,,1072278.7953869323,2534349.459920184,955841.8598240603,,,,,,,,
