,1,2,3,4,5,6,7,8,9,10,11,12
A,1040.0057978136972,255.37203475337554,,,,,,,,,,
B,262.18252611878205,174.51068894948688,76.00060713225437,86.52766080699872,68.21930222855855,50.888190149032965,53.50506895297759,,,,,
C,107.92166598976297,86.4525188080884,79.99013158372551,81.15590564900212,25.375928192526395,67.46603834705206,48.71744993779273,,,,,
D,52.17767766409574,49.41299186839029,,87.85209215718501,105.91145049154267,46.48661852596234,25.98141664835352,,,,,
E,26.137926745827748,24.561316058083325,109.02712662769241,115.4727677142523,92.83464999751068,78.88809998290338,59.75791633066625,,,,,
F,13.746053403541026,10.812551026548084,210.63554447531712,117.16524969966291,132.3495203548792,69.20052496945823,65.72425511198442,,,,,
G,5.4541798774366566,5.83514300951104,190.81945521955436,105.12001398135199,127.19003293224138,77.29495697931095,77.17958454358154,,,,,
H,3.5177523199991576,,,,,,,,,,,
